duration_ms,danceability,speechiness,popularity
164479,0.703,0.233,56
271160,0.862,0.266,59
266182,0.881,0.0765,58
405213,0.65,0.0377,62
193391,0.796,0.0453,57
154107,0.89,0.0947,55
225748,0.658,0.036,59
227587,0.593,0.0584,62
196000,0.706,0.088,58
216520,0.717,0.0339,64
226293,0.826,0.169,61
236693,0.752,0.0696,62
240867,0.43,0.0447,69
239702,0.465,0.0323,61
213649,0.593,0.115,59
206227,0.765,0.0317,64
231674,0.559,0.404,60
180640,0.689,0.0317,62
223795,0.79,0.0612,67
208277,0.412,0.0325,66
200864,0.632,0.0284,57
382760,0.343,0.327,57
194253,0.507,0.0862,59
249507,0.72,0.0542,57
194940,0.56,0.183,57
125133,0.653,0.0512,61
226987,0.561,0.1,59
200205,0.545,0.32,61
235067,0.636,0.0327,57
251552,0.892,0.226,54
184107,0.821,0.0669,72
220301,0.744,0.111,57
145411,0.663,0.0452,56
124154,0.705,0.184,62
188493,0.84,0.0797,62
203840,0.359,0.0907,60
259730,0.57,0.0428,57
281018,0.581,0.0333,59
239400,0.82,0.0551,70
151632,0.868,0.363,57
285200,0.592,0.0634,55
233857,0.65,0.0451,59
226213,0.821,0.0603,58
325853,0.557,0.323,63
227655,0.681,0.0974,62
197799,0.456,0.404,56
257960,0.635,0.0283,66
273053,0.593,0.335,62
199213,0.677,0.341,71
130678,0.665,0.274,60
167760,0.731,0.225,56
194023,0.788,0.0597,64
271493,0.781,0.0689,56
346658,0.543,0.0826,57
192010,0.795,0.0745,60
203368,0.667,0.027,55
350533,0.539,0.166,63
213535,0.754,0.0897,58
236013,0.641,0.051,68
197382,0.435,0.109,56
148760,0.532,0.0875,59
212579,0.52,0.0383,52
189640,0.882,0.0476,61
131657,0.647,0.128,57
171747,0.758,0.123,57
229027,0.65,0.229,55
222667,0.568,0.226,61
183901,0.883,0.242,60
197600,0.481,0.0833,62
430800,0.838,0.0628,60
228613,0.717,0.0611,62
205986,0.853,0.0524,63
240427,0.728,0.158,59
169951,0.757,0.0399,60
101813,0.507,0.167,59
378600,0.557,0.137,62
186727,0.423,0.053,59
242200,0.803,0.269,59
216832,0.537,0.502,62
202031,0.676,0.0773,58
205413,0.569,0.269,60
261933,0.739,0.0412,65
285707,0.524,0.37,62
201581,0.514,0.153,55
197541,0.653,0.236,59
277013,0.644,0.137,62
242688,0.792,0.0475,61
240148,0.518,0.0622,57
193907,0.706,0.327,57
210173,0.818,0.0898,62
210895,0.675,0.0857,62
179573,0.733,0.244,63
248253,0.749,0.0547,56
166850,0.909,0.0606,58
193947,0.779,0.0345,60
217600,0.559,0.0591,55
182533,0.75,0.0446,57
239560,0.491,0.0432,63
181613,0.803,0.105,59
289309,0.411,0.0469,59
146173,0.448,0.0368,60
257179,0.446,0.107,59
176816,0.87,0.18,71
244267,0.774,0.05,59
196037,0.706,0.0343,56
158798,0.54,0.208,55
241984,0.549,0.0351,64
228680,0.504,0.125,56
210307,0.854,0.085,61
94933,0.808,0.252,62
182308,0.718,0.198,56
260160,0.636,0.119,65
208500,0.825,0.267,59
330945,0.726,0.154,59
235667,0.69,0.0264,64
267867,0.686,0.0386,57
276560,0.527,0.0681,60
259853,0.532,0.0233,67
247455,0.673,0.0325,60
243333,0.769,0.0403,57
194360,0.64,0.067,57
197360,0.839,0.045,59
227973,0.594,0.102,64
155294,0.821,0.223,58
124853,0.59,0.0755,59
259983,0.939,0.12,60
203453,0.753,0.0347,57
188336,0.457,0.102,58
230973,0.502,0.0295,55
219503,0.882,0.0942,58
195315,0.685,0.0509,54
219920,0.792,0.0329,60
243235,0.538,0.0455,59
213253,0.66,0.14,63
183695,0.916,0.2,59
184080,0.397,0.386,59
263440,0.721,0.0631,61
187873,0.692,0.0955,55
217200,0.7,0.0359,56
152933,0.697,0.343,55
60000,0.914,0.155,56
189128,0.425,0.0475,60
205840,0.714,0.0876,64
208067,0.694,0.111,62
279147,0.676,0.0511,58
228707,0.728,0.0564,68
206500,0.905,0.0662,59
199575,0.494,0.0464,55
316188,0.596,0.0535,60
189533,0.499,0.294,57
180120,0.52,0.0519,56
215910,0.636,0.0471,56
286627,0.466,0.0544,58
232907,0.647,0.0782,62
254693,0.559,0.274,65
230583,0.687,0.117,56
176760,0.451,0.134,50
272893,0.436,0.0326,67
163738,0.85,0.222,56
162063,0.595,0.0743,56
262133,0.708,0.151,62
120627,0.292,0.0416,56
116765,0.804,0.0913,57
252267,0.685,0.112,63
200454,0.607,0.0465,58
211972,0.886,0.058,61
247547,0.48,0.23,54
375400,0.581,0.0382,60
134747,0.652,0.326,59
214267,0.703,0.039,58
176000,0.639,0.543,54
186868,0.618,0.0483,56
233467,0.566,0.0399,65
181000,0.766,0.0483,66
231093,0.706,0.0317,60
142263,0.882,0.198,56
175223,0.623,0.032,60
255133,0.717,0.0441,66
207787,0.755,0.0484,57
185239,0.7,0.0311,58
206187,0.884,0.0379,65
253627,0.664,0.0298,61
182560,0.737,0.0895,64
301200,0.873,0.102,68
217200,0.538,0.178,59
208000,0.518,0.0336,56
216003,0.779,0.0381,56
217573,0.56,0.0872,58
240627,0.494,0.133,58
254000,0.796,0.0894,59
299839,0.512,0.0392,58
207849,0.516,0.0898,57
219307,0.73,0.0379,56
229640,0.509,0.0537,58
205091,0.866,0.32,57
60000,0.941,0.154,55
261595,0.342,0.0943,53
169814,0.89,0.103,65
195706,0.796,0.103,55
163480,0.475,0.0486,56
199867,0.677,0.0391,55
227041,0.83,0.165,62
